Date,Open,Close,High,Low,Volume
2021/08/16,515.24,517.92,523.38,512.3,2033176
2021/08/17,515.47,518.91,520.79,514.2,2309803
2021/08/18,520,521.87,526.38,518.65,2582046
2021/08/19,522.74,543.71,548.39,521.87,7497292
2021/08/20,545.09,546.88,551.39,539.1,3776429
2021/08/23,545.98,553.33,555.55,543.74,2602010
2021/08/24,551.48,553.41,555.31,549.27,2109525
2021/08/25,550.16,547.58,552.84,545.45,2065621
2021/08/26,546.16,550.12,552.6,545.9,1595499
2021/08/27,551.6,558.92,564.17,549.25,3252595
2021/08/30,557.25,566.18,567.16,556.45,2434839
2021/08/31,566.12,569.19,569.48,561.61,2431886
2021/09/01,569,582.07,591,569,5626214
2021/09/02,583.68,588.55,598.76,583.68,6184782
2021/09/03,585.8,590.53,591.88,583.14,2684005
2021/09/07,594.69,606.71,613.85,593.99,5830979
2021/09/08,603.84,606.05,615.6,595.71,5424503
2021/09/09,606.47,597.54,609.44,596.55,2954214
2021/09/10,598.16,598.72,609.45,593.67,3950764
2021/09/13,598.57,589.29,598.57,582.78,3062871
2021/09/14,584.89,577.76,587.28,575.56,3456958
2021/09/15,578.17,582.87,584.62,575.37,2755615
2021/09/16,584.3,586.5,587.48,577.72,1832028
2021/09/17,587.85,589.35,590.28,580.85,4145145
2021/09/20,586.79,575.43,591.53,568.08,3732227
2021/09/21,578.31,573.14,581.88,569.37,2250884
2021/09/22,579.69,590.65,595.65,579.69,4021845
2021/09/23,590.79,593.26,599.32,589.13,2526161
2021/09/24,592.5,592.39,592.98,583.64,2126246
2021/09/27,587.95,592.64,593.58,576.93,2504738
2021/09/28,589,583.85,599.54,580.16,4431051
2021/09/29,589.01,599.06,609.88,588.01,6221026
2021/09/30,608.05,610.34,619,608.05,6616040
2021/10/01,604.24,613.15,614.99,597.51,4090847
2021/10/04,613.39,603.35,626.13,594.68,4995932
2021/10/05,606.94,634.81,640.39,606.89,9534293
2021/10/06,628.18,639.1,639.87,626.36,4580434
2021/10/07,642.23,631.85,646.84,630.45,3556886
2021/10/08,634.17,632.66,643.8,630.86,3272093
2021/10/11,633.2,627.04,639.42,626.78,2862470
2021/10/12,633.02,624.94,637.66,621.99,3227349
2021/10/13,632.18,629.76,632.18,622.1,2424638
2021/10/14,632.23,633.8,636.88,626.79,2672535
2021/10/15,638,628.29,639.42,625.16,4116874
